Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Tzolk'in,2019-04-28,1,2,,,,3,,4,,
Sheriff of Nottingham,2019-04-30,2,3,,,,4,,1,,
Jorvik,2019-06-25,2f,1f,,,,,,3f,,
Jorvik,2019-06-26,2,3,,,,4f,,1,,
Jorvik,2019-07-02,5,3,3f,,,2,1f,,,
Jorvik,2019-07-02,3,4,1,,,2,,,,
Jorvik,2019-07-04,1,3,5,,,2,,3,,
Jorvik,2019-07-04,4,3,1,,,2,,4,,
Arboretum,2019-07-08,1,3f,,,,2,,,,
Century: Spice Road ,2019-07-08,2f,,1,4,,3,,,,
Century: Spice Road ,2019-07-08,2,,3,4,,1,,,,
Arboretum,2019-07-09,2,3,,4f,,1,,,,
Arboretum,2019-07-09,1,3,,,,,,,,
Century: Spice Road ,2019-07-09,4,,2,2,,1,,,,
Arboretum,2019-07-10,1,2,,3,,3,,,,
Arboretum,2019-07-10,1,2,,4,,3,,,,
Jorvik,2019-07-18,1,3,1,5f,,4,,,,
Jorvik,2019-07-18,1,,2,3,,4,,,,
Azul,2019-07-24,1,3,2,4,,,,,,
Azul,2019-07-24,4,1,2,3,,,,,,
Jorvik,2019-07-24,4,2,3,1,,,,,,
Herbaceous,2019-07-28,1f,,4f,2f,,3f,,,,
Herbaceous,2019-07-28,3,,1,1,,4,,,,
Herbaceous,2019-07-28,2,,2,2,,1,,,,
Herbaceous,2019-07-28,2,,4,2,,1,,,,
Herbaceous,2019-07-29,3,3f,,1,,,,,,
Herbaceous,2019-07-30,2,1,,4,,,3f,,,
Herbaceous,2019-07-30,1,4,,2,,,3,,,
Herbaceous,2019-07-31,1,2,,,,3,,,,
For Sale,2019-07-31,3,,4,1,,5,1,,,
For Sale,2019-07-31,5,,4,3,,1,2,,,
For Sale,2019-07-31,5,,4,3,,1,2,,,
Hoity Toity,2019-08-01,1,,5f,3f,,3f,2f,,,
Jorvik,2019-08-04,4,,3,5,,2,1,,,
For Sale,2019-08-04,2,,3,4,,1,5,,,
For Sale,2019-08-04,5,,4,2,,3,1,,,
Puerto Rico,2019-10-06,1,,2,,,3,,,,
Herbaceous,2019-11-04,3,2,,,,,,1f,,
Herbaceous,2019-11-04,1,3,,,,,,3,,
Minute Realms,2019-12-20,1f,3f,,,,,,2,,
Minute Realms,2019-12-21,2,5,4f,,,3f,,1,,
Minute Realms,2019-12-21,2,4,3,,,5,,1,,
Klank,2019-12-21,4,,2f,,,3,,1f,,
Klank,2019-12-21,2,,4,,,1,,3,,
Klank,2019-12-22,2,4,,,,3,,1,,
Klank,2019-12-22,1,3,,,,4,,2,,
Small World,2019-12-26,1,2,,,,,,3,,
Minute Realms,2019-12-26,2,3,,,,,,1,,
Kingdomino,2019-12-30,2f,3f,,,,,,,1,4
Herbaceous,2019-12-30,3,2,,,,,,,1f,4f
Arboretum,2019-12-30,4,3,,,,,,,1f,1f
Herbaceous,2019-12-30,1,2,,,,,,,3,4
Between Two Cities,2019-12-30,1,3,,,,,,,3f,1f
Between Two Cities,2019-12-30,1,2,,,,,,,2,2
Herbaceous,2019-12-30,1,3,,,,,,,4,1
Klank,2019-12-31,3,,2,1,,4,,,,
Klank,2019-12-31,1,,2,4,,3,,,,
Kingdomino,2019-12-31,1,4,3,,,2,,,,
Klank,2019-12-31,2,,3,1,,4,,,,
Klank,2019-12-31,3,,4,2,,1,,,,
Klank,2020-1-3,1,4,2,,,3,,,,
Kingdomino,2020-01-05,1,3,,,,,,2,,
Small World,2020-01-05,1,3,,,,,,2,,
Minute Realms,2020-02-29,2,1,,,,,,3,,
Minute Realms,2020-02-29,1,2,,,,,,3,,
Kingdomino,2020-02-29,1,2,,,,,,3,,
Kingdoms,2020-02-29,1,3,,,,,,2,,
Minute Realms,2020-02-29,1,2,,,,,,3,,
Between Two Cities,2020-03-07,4,2,,,,1,,3f,,
