Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Roll for the Galaxy,2022-08-22,2,3,1,,,,,,,
Roll for the Galaxy,2022-08-22,1,2,,,,3,,,,
Little Town,2022-08-22,2,,1,,,3,,,,
Roll for the Galaxy,2022-08-24,1,3,,,,2,,,,
Roll for the Galaxy,2022-08-24,4,3,5,1,,2,,,,
Roll for the Galaxy,2022-08-24,2,4,1,5,,3,,,,
Roll for the Galaxy,2022-08-25,1,3,2,,,,,,,
Roll for the Galaxy,2022-08-25,1,4,2,3,,,,,,
Roll for the Galaxy,2022-08-25,2,,1,3,,,,,,
Roll for the Galaxy,2022-08-25,3,,1,2,,,,,,
Roll for the Galaxy,2022-08-25,1,,2,3,,,,,,
Roll for the Galaxy,2022-08-27,2,,1,3,,,,,,
Villagers,2022-08-27,2f,,1f,,,3f,,,,
Villagers,2022-08-27,4,,3,,2f,1,,,,
Kingdoms,2022-08-30,1,,,,,3,,2,,
Roll for the Galaxy,2022-10-29,2,3,1,,,,,4,,
Roll for the Galaxy,2022-10-30,1,4,2,,,3,,,,
Roll for the Galaxy,2022-10-30,1,4,3,,,2,,5,,
Minute Realms,2022-10-30,2,4,1,,,3,,,,
Minute Realms,2022-10-30,5,2,3,,,1,,4,,
Herbaceous,2022-10-31,3,1,2,,,,,,,
Herbaceous,2022-10-31,3,2,1,,,,,,,
Herbaceous,2022-10-31,1,4,2,3,,,,,,
Floriferous,2022-10-31,1,2,,,,3,,,,
Floriferous,2022-10-31,1,2,,4,,3,,,,
Roll for the Galaxy,2022-10-31,1,3,2,,,,,,,
Roll for the Galaxy,2022-10-31,1,3,2,,,4,,,,
Roll for the Galaxy,2022-10-31,1,,2,,,3,,,,
Cacao,2022-11-23,1,3,,,,,,2,,
Cacao,2022-11-23,2,3,,,,,,1,,
Cacao,2022-11-26,1,4,1f,3,,,,,,
Amun Re the card game,2022-11-26,1f,3f,2f,4f,,,,,,
Amun Re the card game,2022-11-26,1,2,3,2,,,,,,
Roll for the Galaxy,2022-12-03,3,,2,,,1,,,,
Roll for the Galaxy,2022-12-03,3,,1,,,2,,,,
Minute Realms,2022-12-11,3,1,,,,,,2,,
Floriferous,2022-12-16,4,1,3,2,,,,,,
Roll for the Galaxy,2022-12-16,2,,1,3,,,,,,
Floriferous,2022-12-17,2,1,,3,,,,,,
Isle of Skye,2022-12-25,4,2,1,,,3,,,,
Kingdoms,2022-12-27,2,,,,,1,,3,,
Kingdoms,2022-12-27,3,,,,,2,,1,,
Ra,2022-12-27,1,,,,,3,,2,,
Floriferous,2022-12-29,4,3,,,,,,,1f,2f
Cat Lady,2022-12-29,3f,1f,,,,,,,2,4
Francis Drake,2022-12-29,2,4,,,,,,,3f,1f
Herbaceous,2022-12-29,2,1,,,,,,,4,3
Herbaceous,2022-12-29,2,4,,,,,,,1,3
Tiny Towns,2022-12-29,3,2,,,,,,,1f,4f
Tiny Towns,2022-12-29,3,2,,,,,,,3,1
Race for the Galaxy,2022-12-31,2,3,,,,1,,,,
Floriferous,2022-12-31,4,,3,1,,2,,,,
Race for the Galaxy,2022-12-31,2,5,1,4,,3,,,,
Libertalia,2023-01-01,4,2,,,,3,,1,,
Libertalia,2023-01-01,1,2,,,,4,,3,,
Race for the Galaxy,2023-01-01,1,4,,,,2,,3,,
Race for the Galaxy,2023-01-03,1,,4,3,,1,,,,
Race for the Galaxy,2023-01-03,1,,2,4,,3,,,,
Race for the Galaxy,2023-01-06,1,,2,4,,3,,,,
Floriferous,2023-01-13,2,3,,,,1,,,,
Mission: Red Planet,2023-01-22,4,2,,,,3,,1,,
Suburbia,2023-01-22,1,2,,,,4,,3,,
Kingdoms,2023-01-27,2,,,,,1,,3,,
Kingdoms,2023-01-28,3,,2f,,,1,,,,
Concordia,2023-02-24,1,4,2,3,,,,,,
Libertalia,2023-02-25,2,3,,,,,,1,,
Race for the Galaxy,2023-03-04,2,3,1,,,,,4,,
Concordia,2023-03-04,2,1,3,,,,,4,,
Genotype,2023-03-10,3,2,,,,1,,,,
Race for the Galaxy,2023-03-15,3,4,1,2,,,,,,
Floriferous,2023-03-15,2,1,4,3,,,,,,
Race for the Galaxy,2023-03-18,1,5,4,2,6,3,,,,
Floriferous,2023-03-18,2,1,,3,,,,,,
Floriferous,2023-03-18,1,3,,2,,,,,,
Floriferous,2023-03-18,2,1,,3,,,,,,
Orleans,2023-04-06,3f,1f,4f,,,2f,,,,
Orleans,2023-04-07,4,3,1,,,2,,,,
Race for the Galaxy,2023-04-07,4,1,2,5,,3,,,,
Orleans,2023-04-08,1,2,,,,,,3f,,
Tucano,2023-04-09,4f,2,,,,,,,1f,3f
Tucano,2023-04-09,3,4,,,,,,,1,2
Libertalia,2023-04-09,1,2,,,,,,,4f,3f
Floriferous,2023-04-09,1,4,,,,,,,2,3
Brutal Kingdom,2023-04-09,1,2,,,,,,,3f,4f
Libertalia,2023-04-09,3,1,,,,,,,4,2
Tucano,2023-04-09,1,3,,,,,,,4,2
Race for the Galaxy,2023-04-10,2,,1,4,,3,,,,
Glen More II,2023-04-14,4f,3f,2f,,,1f,,,,
Glen More II,2023-04-14,2,4,1,,,3,,,,
Glen More II,2023-04-15,4,,1,,,3,,2f,,
Dice Forge,2023-04-15,,,4,3,,1,,2f,,
Glen More II,2023-04-28,3,,4,,,1,,2,,
Cascadia,2023-04-28,3,2,,,,1f,,4f,,
Cascadia,2023-04-30,2,1,3,,,,,,,
Cascadia,2023-04-30,2,2,1,,,,,,,
Dune,2023-05-01,2f,,1f,3f,,4f,,,,
Dune,2023-05-04,3,1f,,,,,,2f,,
Dune,2023-05-05,1,3,,,,2,,4,,
Dune,2023-05-06,4,,1,2,,3,,,,
Dune,2023-05-06,1,,3,,,2,,4,,
Dune,2023-05-07,1,4,,,,2,,3,,
Dune,2023-05-09,1,2,,,,,,3,,
Dune,2023-05-12,2,3,1,4,,,,,,
Dune,2023-05-13,2,1,3,,,4,,,,
Dune,2023-05-14,2,3,1,4,,,,,,
Dune,2023-05-14,2,,1,3,,,,,,
Cascadia,2023-05-17,2,1,,,,,,3,,
Tucano,2023-05-19,2,4,1,,,2,,,,
Cascadia,2023-05-19,3,,1,,,2,,,,
Race for the Galaxy,2023-05-19,3,,1,2,,4,,,,
Race for the Galaxy,2023-05-19,2,,3,4,,1,,,,
Race for the Galaxy,2023-05-21,2,5,1,4,,3,,,,
Race for the Galaxy,2023-05-21,4,,1,2,,3,,,,
Dune,2023-05-22,2,1,,,,,,3,,
Dune,2023-05-25,2,3,1,,,4,,,,
Dune,2023-05-26,3,1,2,4,,,,,,
Dune,2023-05-28,1,3,2,,,,,,,
Dune,2023-05-29,2,4,1,3,,,,,,
Dune,2023-05-29,1,2,4,3,,,,,,
Race for the Galaxy,2023-05-29,2,4,1,3,,,,,,
Dune,2023-06-01,2,3,,,,,,1,,
Dune,2023-06-02,1,2,4,3,,,,,,
Dune,2023-06-03,2,1,3,,,4,,,,
Dune,2023-06-08,1,2,,,,,,3,,
Dune,2023-06-09,2,,1,3,,,,,,
Dune,2023-06-09,2,3,1,4,,,,,,
Dune,2023-06-10,2,3,1,4,,,,,,
Dune,2023-06-11,2,1,3,4,,,,,,
Dune,2023-06-11,1,,2,4,,3,,,,
Dune,2023-06-15,1,3,2,,,,,4,,
Libertalia,2023-06-18,2,1,,,,,,3,,
Cascadia,2023-06-18,2,3,,,,,,1,,
Dune,2023-06-19,3,2,1,,,,,,,
Dune,2023-06-22,2,3,1,,,,,,,
Dune,2023-06-23,2,4,1,,,3,,,,
Dune,2023-06-25,1,3,2,,,,,,,
Dune,2023-06-25,3,2,1,,,,,,,
Race for the Galaxy,2023-06-25,1,4,2,3,,,,,,
Dune,2023-06-26,3,2,1,,,,,,,
Dune,2023-06-27,1,2,,,,3,,,,
Dune,2023-06-28,3,2,1,,,,,,,
Dune,2023-06-29,1,2,3,,,,,,,
Dune,2023-07-01,2,3,1,,,,,,,
Dune,2023-07-02,2,3,,,,1,,,,
Dune,2023-07-02,2,4,1,,,3,,,,
Dune,2023-07-03,2,1,,,,3,,,,
Tucano,2023-07-04,2,1,,,,2,,,,
Dune,2023-07-04,1,4,2,,,3,,,,
Dune,2023-07-06,2,3,1,,,,,,,
Dune,2023-07-08,3,1,2,,,4,,,,
Dune,2023-07-10,3,4,1,,,,,2,,
Dune,2023-07-13,2,3,1,,,,,,,
Dune,2023-07-14,1,3,2,,,,,,,
Dune,2023-07-15,1,2,3,,,,,4,,
Dune,2023-07-16,4,2,1,,,,,3,,
Race for the Galaxy,2023-07-18,2,,1,,,3,,,,
Cascadia,2023-07-19,2,1,,,,3,,,,
Earth,2023-07-20,3,5,1,2,,4,,,,
Earth,2023-07-21,4,1,3,5,,2,,,,
Cascadia,2023-07-21,2,1,,,,3,,,,
Dune,2023-07-22,2,3,1,,,,,,,
Cascadia,2023-07-22,1,2,,3,,,,,,
Dune,2023-07-23,2,1,3,,,,,,,
Dune,2023-07-23,1,3,,,,2,,,,
Dune,2023-07-23,4,3,1,,,2,,,,
Dune,2023-07-23,2,3,1,,,4,,,,
Cascadia,2023-07-24,4,,1,3,2,,,,,
Dune,2023-07-28,2,3,1,,,,,,,
Dune,2023-07-28,3,2,1,,,,,,,
Dune,2023-07-30,3,4,2,,,1,,,,
Earth,2023-07-30,4,1,3,2,,,,,,
Earth,2023-07-31,2,3,1,4,,,,,,
Cascadia,2023-07-31,3,2,1,4,,,,,,
Dune,2023-08-01,3,2,1,,,,,,,
Cascadia,2023-08-01,2,2,1,4,,,,,,
Dune,2023-08-02,1,3,4,,,2,,,,
Earth,2023-08-04,1,4,3,2,,5,,,,
Dune,2023-08-06,2,3,1,,,4,,,,
Dune,2023-08-06,3,,1,,,2,,,,
Cascadia,2023-08-06,2,3,1,,,4,,,,
Earth,2023-08-08,3,2,,,,,,1f,,
Minute Realms,2023-08-08,1,3,,,,,,2,,
Dune,2023-08-13,1,3,2,,,,,4,,
Cascadia,2023-08-20,3,4,1,,,2,,,,
Dune,2023-08-20,3,2,1,,,,,,,
Cascadia,2023-08-20,2,,1,4,,,,,,
Dune,2023-08-21,3,1,2,,,4,,,,
Dune,2023-08-21,2,4,1,,,3,,,,
Cascadia,2023-08-21,2,1,,,,3,,,,
Dune,2023-08-22,1,3,,,,2,,,,
Dune,2023-08-23,2,3,,,,1,,,,
Meadow,2023-08-23,1,3,,,,2,,,,
Dune,2023-08-24,1,3,2,,,,,,,
Dune,2023-08-25,1,3,,,,2,,,,
Dune,2023-08-25,1,2,,,,3,,,,
Dune,2023-08-25,1,3,2,,,,,,,
Meadow,2023-08-26,3,1,,4,,1,,,,
Meadow,2023-08-26,1,4,2,2,,,,,,
Dune,2023-08-27,3,2,1,,,,,,,
Meadow,2023-08-27,3,1,2,,,,,,,
Dune,2023-08-28,3,4,2,,,1,,,,
Cascadia,2023-08-28,1,,2,3,,4,,,,
Dune,2023-08-29,1,3,,,,2,,,,
Dune,2023-08-29,3,4,1,,,2,,,,
Dune,2023-08-29,2,,1,,,3,,,,
Meadow,2023-08-29,3,,2,1,,,,,,
Dune,2023-09-01,3,4,1,,,2,,,,
Meadow,2023-09-02,3,2,1,3,,,,,,
Floriferous,2023-09-02,4,2,4,1,,,,,,
Dune,2023-09-08,1,3,2,,,,,,,
Dune,2023-09-15,1,3,2,,,4,,,,
Dune,2023-09-16,3,4,1,,,2,,,,
Dune,2023-09-22,1,4,,,,3,,2,,
Dune,2023-09-23,1,3,2,,,,,,,
Dune,2023-09-24,1,3,2,,,4,,,,
Dune,2023-09-25,3,1,2,,,,,,,
Floriferous,2023-09-29,1,2,,,,,,3f,,
Floriferous,2023-09-29,3,2,,,,,,1,,
Earth,2023-09-29,2,1,,,,,,3,,
Floriferous,2023-10-01,2,3,,,,,,1,,
Earth,2023-10-01,3,1,,,,,,2,,
Dune,2023-10-01,3,2,1,,,,,,,
Dune,2023-10-06,4,3,2,,,1,,,,
Dune,2023-10-07,1,4,2,,,3,,,,
Floriferous,2023-10-08,1,3,,,,,,2,,
Cascadia,2023-10-08,2,1,,,,,,3,,
Suburbia,2023-10-08,1,3,,,,,,2,,
Floriferous,2023-10-13,2,3,,,,4,,1,,
Stone Age,2023-10-13,2,1,,,,4,,3,,
Dune,2023-10-15,2,3,1,,,,,,,
Dune,2023-10-22,2,1,3,,,,,,,
Glen More II,2023-10-23,3,1,,,,,,2,,
Floriferous,2023-10-23,3,1,,,,,,2,,
Floriferous,2023-10-23,3,2,,,,,,1,,
Floriferous,2023-10-27,1,3,,,,,,2,,
Herbaceous,2023-10-27,2,1,,,,,,3,,
Herbaceous,2023-10-27,2,1,,,,,,3,,
Dune,2023-10-28,3,4,2,,,1,,,,
Dune,2023-10-28,3,4,1,,,2,,,,
Race for the Galaxy,2023-10-29,1,,2,,,3,,,,
Race for the Galaxy,2023-10-29,4,1,3,,,2,,,,
Race for the Galaxy,2023-10-29,1,4,2,,,3,,,,
Cascadia,2023-10-31,2,4,3,1,,,,,,
Race for the Galaxy,2023-10-31,3,5,1,2,,4,,6,,
Floriferous,2023-11-01,2,1,,,,3,,,,
Floriferous,2023-11-01,4,3,,,,2,,1,,
Stone Age,2023-11-01,1,3,,,,2,,4,,
Dune,2023-11-03,1,3,2,,,,,,,
Dune,2023-11-5,4,2,1,,,3,,,,
Dune,2023-11-18,1,2,3,,,,,,,
Floriferous,2023-11-24,2,1,,,,,,3,,
Earth,2023-11-24,2,3,,,,,,1,,
Floriferous,2023-12-02,2,3,,,,1,,,,
Libertalia,2023-12-02,3,1,,,,2,,,,
Cascadia,2023-12-02,2,4,3,,,1,,,,
Race for the Galaxy,2023-12-02,4,3,2,,,1,,,,
Floriferous,2023-12-03,2,1,,,,,,3,,
Floriferous,2023-12-03,1,2,,,,,,3,,
Arboretum,2023-12-03,2,1,,,,,,3f,,
Kingdomino,2023-12-03,3,2,,,,,,1,,
Cascadia,2023-12-06,1,4,2,3,,,,,,
Arboretum,2023-12-08,2,1,,,,3,,,,
Dune,2023-12-10,1,3,2,,,,,,,
Dune,2023-12-15,3,2,1,,,,,,,
Dune,2023-12-16,2,1,3,,,,,,,
Startups,2023-12-17,3,1,,,,,,2f,,
Startups,2023-12-17,1,2,,,,,,3,,
Startups,2023-12-17,2,3,,,,1f,,4,,
Startups,2023-12-17,4,3,,,,2,,1,,
Dune,2023-12-17,3,4,,,,2,,1,,
Floriferous,2023-12-19,1,3,,,,,,2,,
Cascadia,2023-12-19,1,2,,,,,,3,,
Kingdoms,2023-12-20,1,4,,,,3,,2,,
Floriferous,2023-12-20,2,1,,,,3,,4,,
Dune: Uprising,2023-12-27,2f,4f,3f,,,1f,,,,
Dune: Uprising,2023-12-28,1,4,2,,,3,,,,
Dune: Uprising,2023-12-28,1,3,,,,2,,4f,,
Dune: Uprising,2023-12-29,2,4,1,,,3,,,,
Dune: Uprising,2024-01-01,1,2,,,,3,,4,,
Dune: Uprising,2024-01-06,1,,,,,2,,3,,
Dune: Uprising,2024-01-07,2,3,,,,1,,,,
Dune: Uprising,2024-01-12,4,1,3,,,2,,,,
Startups,2024-01-13,4,3,,,,,,,2f,1f
Great Split,2024-01-13,4,2,,,,,,,1f,3
Dune: Uprising,2024-01-14,1,2,4,,,3,,,,
Earth,2024-01-19,2,1,,,,,,3,,
